2026-02-21 01:44:16,334 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:44:16,335 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:44:16,336 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:44:16,336 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:44:16,336 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:44:16,336 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:44:16,338 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:44:16,692 | INFO     | bootstrap | Cloning official Wan2GP repository for native execution...
2026-02-21 01:44:23,699 | INFO     | bootstrap | Wan2GP cloned successfully to data/repos/Wan2GP.
2026-02-21 01:44:23,699 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:44:23,699 | INFO     | bootstrap | Downloading a valid sample MP4 for frontend testing...
2026-02-21 01:44:28,021 | INFO     | bootstrap | Starting environment setup...
2026-02-21 01:44:28,022 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data
2026-02-21 01:44:28,022 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\uploads
2026-02-21 01:44:28,022 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\cache
2026-02-21 01:44:28,023 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\data\outputs
2026-02-21 01:44:28,023 | INFO     | bootstrap | Ensured directory exists: S:\infinitetalk\dist\logs
2026-02-21 01:44:28,025 | INFO     | bootstrap | Environment setup complete.
2026-02-21 01:44:28,365 | INFO     | bootstrap | Native Wan2GP repository already exists offline.
2026-02-21 01:44:28,365 | INFO     | bootstrap | InfiniteTalk model already exists offline.
2026-02-21 01:44:28,367 | INFO     | bootstrap | Downloading a valid sample MP4 for frontend testing...
